date,FREIGHT_USD_DAY,FUEL_USD_PER_T,EUA_USD_PER_TCO2
2026-01-09,85000,747,84.18000030517578
2026-01-12,85000,747,84.80000305175781
2026-01-13,85000,747,85.30000305175781
2026-01-14,85000,747,86.62999725341797
2026-01-15,85000,747,86.53500366210938
2026-01-16,85000,747,86.56500244140625
2026-01-20,85000,747,79.94000244140625
2026-01-21,85000,747,82.28500366210938
2026-01-22,85000,747,83.21499633789062
2026-01-23,85000,747,83.17500305175781
2026-01-26,85000,747,82.33000183105469
2026-01-27,85000,747,83.20999908447266
2026-01-28,85000,747,81.31999969482422
2026-01-29,85000,747,78.80999755859375
2026-01-30,85000,747,76.80500030517578
2026-02-02,85000,747,78.37000274658203
2026-02-03,85000,747,77.5199966430664
2026-02-04,85000,747,78.08499908447266
2026-02-05,85000,747,73.55999755859375
2026-02-06,85000,747,74.40499877929688
2026-02-09,85000,747,76.76000213623047
2026-02-10,85000,747,74.55000305175781
2026-02-11,85000,747,74.27999877929688
2026-02-12,85000,747,68.80999755859375
2026-02-13,85000,747,66.91500091552734
2026-02-17,85000,747,66.25
2026-02-18,85000,747,67.4800033569336
2026-02-19,85000,747,67.30000305175781
2026-02-20,85000,747,69.21499633789062
